x,y,z
0.5,0.5,0.5
0.5,2.875,0.5
0.5,5.25,0.5
0.5,7.625,0.5
0.5,10.0,0.5
2.875,0.5,0.5
2.875,2.875,0.5
2.875,5.25,0.5
2.875,7.625,0.5
2.875,10.0,0.5
5.25,0.5,0.5
5.25,2.875,0.5
5.25,5.25,0.5
5.25,7.625,0.5
5.25,10.0,0.5
7.625,0.5,0.5
7.625,2.875,0.5
7.625,5.25,0.5
7.625,7.625,0.5
7.625,10.0,0.5
10.0,0.5,0.5
10.0,2.875,0.5
10.0,5.25,0.5
10.0,7.625,0.5
10.0,10.0,0.5
0.5,0.5,2.875
0.5,2.875,2.875
0.5,5.25,2.875
0.5,7.625,2.875
0.5,10.0,2.875
2.875,0.5,2.875
2.875,2.875,2.875
2.875,5.25,2.875
2.875,7.625,2.875
2.875,10.0,2.875
5.25,0.5,2.875
5.25,2.875,2.875
5.25,5.25,2.875
5.25,7.625,2.875
5.25,10.0,2.875
7.625,0.5,2.875
7.625,2.875,2.875
7.625,5.25,2.875
7.625,7.625,2.875
7.625,10.0,2.875
10.0,0.5,2.875
10.0,2.875,2.875
10.0,5.25,2.875
10.0,7.625,2.875
10.0,10.0,2.875
0.5,0.5,5.25
0.5,2.875,5.25
0.5,5.25,5.25
0.5,7.625,5.25
0.5,10.0,5.25
2.875,0.5,5.25
2.875,2.875,5.25
2.875,5.25,5.25
2.875,7.625,5.25
2.875,10.0,5.25
5.25,0.5,5.25
5.25,2.875,5.25
5.25,5.25,5.25
5.25,7.625,5.25
5.25,10.0,5.25
7.625,0.5,5.25
7.625,2.875,5.25
7.625,5.25,5.25
7.625,7.625,5.25
7.625,10.0,5.25
10.0,0.5,5.25
10.0,2.875,5.25
10.0,5.25,5.25
10.0,7.625,5.25
10.0,10.0,5.25
0.5,0.5,7.625
0.5,2.875,7.625
0.5,5.25,7.625
0.5,7.625,7.625
0.5,10.0,7.625
2.875,0.5,7.625
2.875,2.875,7.625
2.875,5.25,7.625
2.875,7.625,7.625
2.875,10.0,7.625
5.25,0.5,7.625
5.25,2.875,7.625
5.25,5.25,7.625
5.25,7.625,7.625
5.25,10.0,7.625
7.625,0.5,7.625
7.625,2.875,7.625
7.625,5.25,7.625
7.625,7.625,7.625
7.625,10.0,7.625
10.0,0.5,7.625
10.0,2.875,7.625
10.0,5.25,7.625
10.0,7.625,7.625
10.0,10.0,7.625
0.5,0.5,10.0
0.5,2.875,10.0
0.5,5.25,10.0
0.5,7.625,10.0
0.5,10.0,10.0
2.875,0.5,10.0
2.875,2.875,10.0
2.875,5.25,10.0
2.875,7.625,10.0
2.875,10.0,10.0
5.25,0.5,10.0
5.25,2.875,10.0
5.25,5.25,10.0
5.25,7.625,10.0
5.25,10.0,10.0
7.625,0.5,10.0
7.625,2.875,10.0
7.625,5.25,10.0
7.625,7.625,10.0
7.625,10.0,10.0
10.0,0.5,10.0
10.0,2.875,10.0
10.0,5.25,10.0
10.0,7.625,10.0
10.0,10.0,10.0
